Speed (rpm),Power (mW)
2520,905.16
2520.6,905.63
2521.2,906.01
2521.8,906.18
2522.3,906.28
2522.8,906.32
2523.3,906.32
2523.6,906.31
2524,906.3
2524.3,906.33
2524.5,906.4
2524.7,906.54
2524.9,906.75
2525.1,907.21
2525.3,907.75
2525.6,908.35
2525.9,908.99
2526.3,909.66
2526.7,910.32
2527.2,910.96
2527.7,911.54
2528.3,912.05
2528.8,912.47
2529.4,912.63
2530,912.68
2530.6,912.63
2531.1,912.48
2531.6,912.25
2532,911.95
2532.5,911.6
2532.9,911.21
2533.2,910.81
2533.6,910.4
2533.9,910.14
2534.3,909.89
2534.6,909.65
2535,909.43
2535.4,909.21
2535.8,909
2536.3,908.8
2536.8,908.6
2537.3,908.39
2537.8,908.19
2538.3,907.84
2538.8,907.5
2539.3,907.19
2539.8,906.92
2540.2,906.72
2540.7,906.58
2541.1,906.52
2541.5,906.56
2541.9,906.69
2542.2,906.93
2542.6,907.44
2542.9,908.02
2543.2,908.66
2543.5,909.33
2543.9,909.99
2544.2,910.63
2544.5,911.22
2544.8,911.73
2545.1,912.14
2545.4,912.45
2545.7,912.44
2546,912.34
2546.2,912.15
2546.5,911.89
2546.7,911.61
2547,911.32
2547.2,911.05
2547.4,910.84
2547.6,910.7
2547.8,910.67
2548,910.89
2548.1,911.24
2548.3,911.7
2548.4,912.26
2548.6,912.9
2548.7,913.61
2548.9,914.35
2549.1,915.11
2549.2,915.85
2549.4,916.55
2549.6,917.15
2549.9,917.65
2550.1,918.05
2550.4,918.32
2550.7,918.45
2551,918.44
2551.3,918.28
2551.6,917.98
2551.9,917.53
2552.2,916.96
2552.5,916.2
2552.8,915.36
2553,914.45
2553.2,913.51
2553.3,912.57
2553.5,911.66
2553.6,910.81
2553.6,910.05
2553.7,909.4
2553.7,908.88
2553.7,908.62
2553.8,908.5
2553.9,908.53
2553.9,908.68
2554,908.95
2554.2,909.31
2554.3,909.75
2554.5,910.24
2554.7,910.76
2554.9,911.28
2555.1,911.71
2555.3,912.11
2555.4,912.47
2555.6,912.78
2555.8,913.04
2555.9,913.24
2556,913.38
2556.1,913.47
2556.1,913.5
2556.2,913.49
2556.2,913.47
2556.3,913.41
2556.3,913.34
2556.4,913.26
2556.5,913.17
2556.5,913.1
2556.6,913.04
2556.7,913.01
2556.8,913.02
2557,913.07
2557.1,913.18
2557.2,913.34
2557.2,913.55
2557.3,913.8
2557.4,914.09
2557.4,914.42
2557.4,914.78
2557.4,915.17
2557.4,915.57
2557.4,915.98
2557.4,916.34
2557.3,916.7
2557.3,917.04
2557.2,917.37
2557.2,917.69
2557.2,917.97
2557.2,918.23
2557.2,918.45
2557.2,918.62
2557.3,918.76
2557.4,918.91
2557.6,919.01
2557.8,919.03
2558.1,918.96
2558.4,918.79
2558.7,918.53
2559,918.16
2559.4,917.69
2559.8,917.12
2560.1,916.45
2560.4,915.58
2560.7,914.65
2561,913.69
2561.1,912.73
2561.3,911.79
2561.4,910.92
2561.4,910.13
2561.3,909.45
2561.2,908.9
2561.1,908.49
2561,908.38
2560.8,908.42
2560.6,908.6
2560.4,908.91
2560.3,909.32
2560.1,909.81
2560,910.36
2559.8,910.93
2559.7,911.5
2559.7,912.05
2559.6,912.45
2559.6,912.79
2559.6,913.06
2559.6,913.25
2559.6,913.36
2559.6,913.38
2559.6,913.33
2559.6,913.2
2559.6,913.02
2559.6,912.78
2559.6,912.53
2559.5,912.25
2559.5,911.96
2559.4,911.65
2559.2,911.35
2559.1,911.06
2558.9,910.8
2558.7,910.56
2558.4,910.36
2558.2,910.2
2557.9,910.08
2557.6,910.01
2557.2,909.98
2556.9,910.01
2556.5,910.07
2556.2,910.17
2555.8,910.31
2555.4,910.46
2555.1,910.62
2554.7,910.77
2554.3,910.96
2553.9,911.12
2553.6,911.22
2553.2,911.26
2552.9,911.21
2552.5,911.07
2552.2,910.83
2551.8,910.48
2551.5,910.01
2551.2,909.44
2550.9,908.64
2550.5,907.75
2550.2,906.81
2549.9,905.84
2549.6,904.87
2549.2,903.94
2548.9,903.05
2548.6,902.26
2548.2,901.56
