Speed (rpm),Power (mW)
2773.3,918.58
2772.3,919.31
2771.4,919.75
2770.4,920.15
2769.5,920.5
2768.6,920.79
2767.6,921.01
2766.7,921.15
2765.8,921.23
2765,921.22
2764.1,921.13
2763.3,920.97
2762.4,920.73
2761.6,920.42
2760.8,920.06
2760,919.63
2759.3,919.15
2758.5,918.64
2757.8,918.1
2757.1,917.54
2756.3,916.97
2755.6,916.4
2755,915.97
2754.3,915.57
2753.7,915.18
2753.2,914.83
2752.7,914.52
2752.2,914.25
2751.8,914.03
2751.5,913.85
2751.2,913.72
2751,913.65
2750.8,913.59
2750.6,913.59
2750.5,913.65
2750.5,913.77
2750.4,913.96
2750.5,914.21
2750.5,914.53
2750.6,914.9
2750.7,915.33
2750.8,915.8
2751,916.39
2751.2,916.99
2751.3,917.58
2751.5,918.15
2751.7,918.66
2751.8,919.1
2752,919.45
2752.1,919.71
2752.2,919.86
2752.2,919.9
2752.2,919.65
2752.2,919.31
2752.1,918.91
2751.9,918.46
2751.7,918.01
2751.5,917.57
2751.3,917.18
2751,916.86
2750.8,916.63
2750.5,916.5
2750.2,916.7
2750,917
2749.9,917.38
2749.8,917.82
2749.7,918.29
2749.7,918.75
2749.8,919.18
2749.9,919.55
2750.1,919.84
2750.3,920.03
2750.5,919.85
2750.8,919.56
2751,919.19
2751.2,918.76
2751.5,918.3
2751.7,917.83
2751.9,917.4
2752.1,917.02
2752.3,916.73
2752.4,916.55
2752.6,916.71
2752.8,917.01
2753.1,917.42
2753.3,917.94
2753.6,918.55
2753.9,919.23
2754.2,919.96
2754.6,920.72
2754.9,921.48
2755.3,922.22
2755.7,922.79
2756.1,923.31
2756.4,923.81
2756.8,924.27
2757.2,924.7
2757.5,925.12
2757.9,925.53
2758.3,925.95
2758.7,926.38
2759.1,926.83
2759.6,927.45
2760.1,928.1
2760.7,928.79
2761.3,929.52
2762.1,930.27
2762.9,931.04
2763.8,931.82
2764.7,932.61
2765.7,933.39
2766.8,934.15
2767.9,934.87
2769,935.54
2770.1,936.16
2771.2,936.72
2772.4,937.21
2773.5,937.63
2774.6,937.95
2775.7,938.18
2776.9,938.31
2778,938.33
2779,938.15
2780.1,937.87
2781.2,937.48
2782.3,937
2783.4,936.42
2784.5,935.76
2785.6,935.02
2786.6,934.22
2787.6,933.37
2788.5,932.48
2789.4,931.55
2790.3,930.61
2791,929.69
2791.6,928.79
2792.2,927.94
2792.7,927.15
2793.1,926.44
2793.4,925.81
2793.6,925.28
2793.8,924.85
2793.9,924.7
2794,924.64
2794,924.69
2794,924.82
2794.1,925.04
2794.1,925.32
2794.1,925.65
2794.1,926.03
2794.1,926.43
2794.1,926.86
2794.1,927.22
2794,927.59
2794,927.96
2793.9,928.33
2793.8,928.7
2793.7,929.08
2793.6,929.46
2793.4,929.84
2793.2,930.21
2793,930.59
2792.8,930.95
2792.5,931.3
2792.2,931.63
2791.9,931.92
2791.6,932.17
2791.3,932.35
2791,932.47
2790.7,932.51
2790.3,932.45
2789.9,932.29
2789.6,932.04
2789.2,931.66
2788.8,931.17
2788.4,930.55
2788,929.81
2787.6,928.95
2787.2,927.98
2786.8,926.91
2786.3,925.76
2785.8,924.54
2785.3,923.16
2784.8,921.76
2784.2,920.38
2783.7,919.05
2783.1,917.81
2782.4,916.68
2781.8,915.69
2781.1,914.87
2780.5,914.24
2779.8,913.8
2779.1,913.73
2778.5,913.85
2777.9,914.15
2777.2,914.59
2776.7,915.16
2776.1,915.82
2775.5,916.54
2775,917.3
2774.5,918.07
2774,918.82
2773.6,919.47
2773.1,920.09
2772.7,920.66
2772.3,921.2
2771.8,921.73
2771.4,922.24
2771,922.76
2770.6,923.31
2770.3,923.89
2769.9,924.53
2769.6,925.36
2769.3,926.26
2769,927.22
2768.8,928.24
2768.6,929.3
2768.5,930.4
2768.4,931.53
2768.4,932.66
2768.5,933.8
2768.7,934.91
2768.9,935.79
2769.2,936.63
2769.6,937.44
2770,938.2
2770.6,938.92
2771.2,939.59
2771.9,940.22
2772.8,940.81
2773.7,941.34
2774.8,941.83
2775.9,942.31
2777.2,942.73
2778.5,943.1
2780,943.42
2781.5,943.67
2783.2,943.86
2784.9,943.99
2786.6,944.05
2788.4,944.04
2790.2,943.97
2792,943.94
2793.8,943.86
2795.6,943.71
2797.3,943.5
2799,943.23
2800.6,942.92
2802.2,942.55
2803.7,942.15
2805.1,941.72
2806.5,941.27
2807.7,940.8
2809,940.33
2810.1,939.85
2811.2,939.39
2812.2,938.93
2813.2,938.5
2814.1,938.1
2815,937.72
2815.8,937.39
2816.6,937.09
2817.2,936.72
2817.8,936.39
2818.4,936.11
2818.8,935.88
2819.2,935.71
2819.5,935.58
2819.8,935.51
2819.9,935.47
2820,935.48
2820.1,935.51
2820.1,935.63
2820,935.75
2819.9,935.87
2819.8,935.96
2819.6,936.01
2819.4,936
2819.1,935.94
2818.8,935.81
2818.5,935.6
2818.1,935.32
2817.7,934.91
2817.2,934.44
2816.6,933.93
2816,933.4
2815.4,932.89
2814.7,932.4
2813.9,931.96
2813.2,931.59
2812.4,931.31
2811.7,931.14
2810.9,931.19
2810.2,931.35
2809.4,931.61
2808.7,931.96
2808.1,932.37
2807.5,932.83
2806.9,933.31
2806.4,933.8
2806,934.26
2805.6,934.68
2805.2,935.01
2804.9,935.26
2804.7,935.43
2804.4,935.49
2804.2,935.46
2804,935.33
2803.8,935.09
2803.7,934.75
2803.5,934.32
2803.3,933.8
2803.1,933.23
2802.9,932.58
2802.6,931.86
2802.3,931.09
2802,930.28
2801.6,929.42
2801.2,928.54
2800.7,927.65
2800.2,926.74
2799.6,925.85
2799,924.8
2798.3,923.78
2797.5,922.8
2796.6,921.86
2795.7,920.98
2794.8,920.16
2793.8,919.41
2792.8,918.76
2791.7,918.19
2790.7,917.73
2789.6,917.3
2788.6,917
2787.5,916.85
2786.5,916.85
2785.6,917.03
2784.7,917.4
2783.8,917.96
2783.1,918.71
2782.4,919.66
2781.8,920.8
2781.2,922.58
2780.8,924.51
2780.5,926.55
2780.3,928.68
2780.2,930.85
2780.2,933.02
2780.4,935.15
2780.6,937.22
2780.9,939.19
2781.2,941.04
2781.7,942.57
2782.2,943.95
2782.8,945.2
2783.5,946.32
2784.2,947.32
2784.9,948.23
2785.8,949.05
2786.7,949.81
2787.6,950.52
2788.7,951.19
2789.8,951.64
2791,952.07
2792.2,952.45
2793.5,952.79
2794.9,953.08
2796.3,953.29
2797.8,953.41
2799.3,953.42
2800.9,953.31
2802.6,953.06
2804.2,952.58
2805.9,951.95
2807.6,951.16
2809.3,950.2
2811,949.09
2812.7,947.84
2814.3,946.46
2815.9,944.97
2817.4,943.38
2818.8,941.74
2820.2,940.24
2821.5,938.73
2822.7,937.25
2823.9,935.83
2824.9,934.49
2825.9,933.27
2826.7,932.19
2827.5,931.29
2828.1,930.58
2828.7,930.07
2829.1,929.87
2829.4,929.89
2829.7,930.13
2829.8,930.57
2829.8,931.19
2829.7,931.98
2829.6,932.92
2829.4,933.98
2829.2,935.13
2828.9,936.36
2828.6,937.56
2828.3,938.79
2828,940.03
2827.7,941.27
2827.4,942.48
2827.1,943.65
2826.8,944.78
2826.6,945.85
2826.4,946.86
2826.2,947.8
2826,948.65
2825.8,949.43
2825.7,950.11
2825.6,950.7
2825.5,951.19
2825.4,951.59
2825.3,951.87
2825.2,952.06
2825.1,952.12
2824.7,946.78
2824.4,946.81
2824.1,946.81
2823.8,946.78
2824,952.72
